id,Sentence,Entities
26,Officials say al Qaida in Iraq fighters have fled successful campaigns against them in Anbar province and Baghdad to other northern provinces.,"al Qaida in Iraq, Anbar, Baghdad"
27,Mosul is the largest city north of Baghdad and has long been a stronghold of Sunni militant fighters.,"Mosul, Baghdad, Sunni"
28,In other violence U.S. officials said one American soldier was killed while on patrol in Baghdad Sunday.,Baghdad
29,Egyptian police have arrested at least 16 members of the opposition Muslim Brotherhood as parts of the country prepare for parliamentary runoff elections Saturday.,Muslim Brotherhood
30,The arrests occurred Friday in Alexandria.,Alexandria
31,A spokesman for the Brotherhood said the arrests are an attempt to cut the Brotherhood off from its supporters and punishment for winning parliamentary seats in earlier elections.,"Brotherhood, Brotherhood"
32,The Muslim Brotherhood has tripled its strength in parliament in recent elections raising the party's total to 47 seats.,Muslim Brotherhood
34,The Muslim Brotherhood is banned as a political party but it endorses so-called independent candidates whose allegiance to the party is known to voters.,Muslim Brotherhood
35,"Hardline lawmakers in Pakistan's North West Frontier Province have pushed through a law that aims to ensure"" Islamic correctness"" in public places and establishes a morality police to enforce decent behavior.","Pakistan, North West Frontier Province"
36,A six-party coalition of religious based parties the Mutahida Majlis-e-Amal dominates the provincial assembly so the bill was easily passed Thursday by a vote of 68-34.,Mutahida Majlis-e-Amal
40,The opposition has denounced the measure comparing it to the draconian rule of the former Taleban in neighboring Afghanistan.,"Taleban, Afghanistan"
41,British police say they have arrested a man who dressed as suicide bomber at a demonstration against the publication of cartoons depicting Islam's Prophet Muhammad.,"Islam, Prophet Muhammad"
42,Bedfordshire police said Tuesday that Omar Khayam was arrested in Bedford for breaching the conditions of his parole.,"Omar Khayam, Bedford"
43,Police said the British Home Office sought an investigation of Khayam's behavior after he was photographed last week at a demonstration dressed in fatigues a black cap and a bulky belt.,"British Home Office, Khayam"
44,A Home Office spokesman told the Associated Press that if the behavior of a paroled offender gives cause for concern he can be sent back to prison.,"Home Office, Associated Press"
45,The AP also reports Khayam has been on parole from prison since last year after serving half his six-year sentence for drug dealing.,"AP, Khayam"
46,Pakistani officials say unidentified gunmen have killed three people including a former government minister in a semi-autonomous tribal region bordering Afghanistan.,Afghanistan
47,The officials say prominent tribal leader Malik Faridullah Khan was traveling in South Waziristan Sunday when his vehicle was ambushed in the Kani Wam area.,"Malik Faridullah Khan, South Waziristan, Kani Wam"
50,The ambush came a day after a commander of Pakistani troops said the army has almost completely eliminated militants in South Waziristan.,South Waziristan
51,The area became a refuge for many al-Qaida and Taleban fighters after the Taleban government was ousted in Afghanistan in 2001.,"al-Qaida, Taleban, Taleban, Afghanistan"
53,But he says Pakistan is not ready to make the nuclear scientist Abdul Qadeer Khan available for direct questioning over his sale of nuclear parts and secrets to states including Iran Libya and North Korea.,Abdul Qadeer Khan
55,The Pakistani official was giving a background briefing to a small group of reporters in Washington.,Washington
56,Khan admitted in 2004 that he operated a worldwide clandestine network to sell nuclear technology in the black market.,Khan
57,He was placed under house arrest in Islamabad but not jailed because he is considered the father of Pakistan's nuclear bomb.,"Islamabad, Pakistan"
58,U.S. Army officials said Wednesday that they will not renew a controversial multi-billion dollar contract with the Halliburton company to provide logistical support to U.S. troops in Iraq and elsewhere.,"Army, Halliburton, Iraq"
59,Halliburton has been providing a long list of services from meals to communication for the military for several years.,Halliburton
60,Critics of Halliburton include auditors and congressional Democrats.,Halliburton
64,Representatives from the Asia Pacific Economic Cooperation Business Advisory Council are holding meetings this week to finalize their annual report for APEC leaders who will hold a summit on September 8 and 9.,"Asia Pacific Economic Cooperation Business Advisory Council, APEC"
65,VOA's Nancy-Amelia Collins reports from Sydney.,"VOA, Nancy-Amelia Collins, Sydney"
66,Energy security climate change the World Trade Organization's stalled negotiations and investment are all expected to be among the major topics in the annual report of the APEC Business Advisory Council known as ABAC.,"World Trade Organization, APEC Business Advisory Council, ABAC"
67,Tim Harcourt the chief economist of the Australian Trade Commission says ABAC plays an important role by informing governments where there are problems.,"Tim Harcourt, Australian Trade Commission, ABAC"
68,""" The most important thing the business groups can do is to tell the governments where there are logjams where there are obstacles where things can improve"" Harcourt said.",Harcourt
69,""" I think actually ABAC has played a pretty good leadership on that in talking about trade facilitation and basically making sure standards are consistent and harmonious across the region.""",ABAC
70,ABAC comprises up to three members of the private sector of each of the 21 economies that make up APEC.,"ABAC, APEC"
72,It was made a permanent body in 1995 to provide an independent business perspective within APEC.,APEC
74,ABAC says there is a need for businesses to improve energy efficiency and to encourage conservation practices and is expected to include this in its annual report.,ABAC
75,Harcourt of the Australian Trade Commission says the ABAC report will also discuss ways to enhance regional cooperation.,"Harcourt, Australian Trade Commission, ABAC"
76,""" I reckon they'll talk a little bit about customs and quarantine a little bit about having consistent security arrangements around the region"" Harcourt said.",Harcourt
78,ABAC is the only non-governmental body that has an official role and formal dialogue with the leaders of the APEC economies.,"ABAC, APEC"
79,It will present its annual report at the APEC leaders meeting on Saturday.,APEC
80,Sudan's government says it will order troops to end attacks immediately in Darfur and is asking rebels to do the same.,Darfur
81,Foreign Minister Mustafa Osman Ismail says Sudanese troops will also withdraw to positions held before an April cease-fire if rebels in the western region agree to stop attacks.,Foreign Minister Mustafa Osman Ismail
82,Mr. Ismail announced the decision after meeting with officials from the United Nations and African Union in Khartoum Sunday.,"Mr. Ismail, United Nations, African Union, Khartoum"
83,In recent weeks AU officials say Sudanese troops and rebels have repeatedly violated the April truce.,AU
84,Saturday the head of AU forces in Darfur accused Sudanese government helicopters of bombing rebel sites in the South Darfur village of Labado.,"AU, Darfur, South Darfur, Labado"
86,Aid workers say some relief efforts have been suspended in South Darfur due to recent attacks.,South Darfur
87,Indonesian police have arrested three men in connection with the October 1 Bali bombings that left 23 people dead.,Bali
88,Indonesian police said Wednesday the men were flown to Bali from neighboring Java island for questioning at Bali police headquarters.,"Bali, Java, Bali"
89,Australian and French news agencies say at least one of the men arrested (Cholily) was captured during a series of counter-terrorism raids last week in Indonesia.,"Cholily, Indonesia"
90,The raids ended with the death of alleged extremist bombmaker Azahari bin Husin.,Azahari bin Husin
91,Indonesian authorities blame Azahari bin Husin for orchestrating last month's attacks in Bali as well as the 2002 Bali bombings that killed more than 200 people.,"Azahari bin Husin, Bali, Bali"
92,Gunmen have shot and killed a Roman Catholic nun and her bodyguard at the hospital where she worked in Islamist-controlled Mogadishu Somalia.,"Roman Catholic, Mogadishu, Somalia"
93,Some witnesses to the Sunday shooting said they feared the attack was linked to Muslim anger toward Pope Benedict.,Pope Benedict
94,Two men with pistols attacked the nun Sister Leonella Sgorbati after she finished teaching a medical school class at the hospital in southern Mogadishu.,"Sister Leonella Sgorbati, Mogadishu"
96,In Rome a Vatican spokesman deplored the attack and said he hoped it was an isolated event and not irrationality arising from comments made by the Pope which angered some Muslims.,"Rome, Vatican"
97,Authorities in Mogadishu have not determined a motive for the shooting.,Mogadishu
98,The pope has said he meant no offense to Muslims when he quoted a 14 century Byzantine emperor as saying some teachings of the Prophet Muhammed brought evil to the world.,"Byzantine, Prophet Muhammed"
100,Helicopter gunships Saturday pounded militant hideouts in the Orakzai tribal region where many Taliban militants are believed to have fled to avoid an earlier military offensive in nearby South Waziristan.,"Orakzai, Taliban, South Waziristan"
101,The Pakistani military launched its offensive in Orakzai to hunt Taliban insurgents.,"Orakzai, Taliban"
103,On Friday five soldiers were killed when dozens of militants stormed a military checkpoint in Orakzai.,Orakzai
105,Elsewhere in the northwest authorities on Saturday found the bodies of six people who had been shot dead in the Kurram region along the Afghan border.,Kurram
107,The U.S. military in Afghanistan says coalition forces killed 14 Taleban militants in separate clashes this week.,"U.S., Afghanistan, Taleban"
108,The military said Saturday 13 guerrillas were killed in two encounters in the central province of Uruzgan.,Uruzgan
110,Another militant was killed by U.S. troops in eastern Paktika province.,Paktika
111,Separately officials say four British soldiers from the NATO-led peacekeeping mission were wounded early Saturday in an attack in the northern city of Mazar-e-Sharif.,Mazar-e-Sharif
113,Taleban rebels are not known to operate in northern Afghanistan and the area has been spared much of the bloodshed that has plagued southern and eastern regions.,"Taleban, Afghanistan"
115,Emergency medical officials say the five victims died in Moscow from exposure and another 19 people are hospitalized with hypothermia.,Moscow
116,Russia's Itar-Tass news agency quotes a medical official as saying some of the victims were intoxicated or homeless.,"Russia, Itar-Tass"
117,The unusually cold weather is affecting Russia the Baltic states of Lithuania Latvia and Estonia and is moving into the Nordic countries.,"Russia, Baltic states, Lithuania, Latvia, Estonia"
119,Emergency power rationing has been put into effect around Moscow.,Moscow
120,Health officials in Vietnam say a deadly strain of the bird flu virus has killed a second Vietnamese man this week raising the country's death toll from the virus to 50.,Vietnam
121,Officials say the 27-year old man from Vietnam's northern Ninh Binh province died late Thursday and tested positive for the H5N1 strain of bird flu.,Vietnam
123,He is the third person to die from avian influenza in Vietnam this year.,Vietnam
124,Not counting the latest death the World Health Organization says 227 people around the world have died from bird flu since 2003.,World Health Organization
125,Most of the world's cases 103 have occurred in Indonesia.,Indonesia
126,Witnesses in Somalia say insurgents have burned and dragged the bodies of at least two soldiers through the streets of Mogadishu after a clash between militants and Ethiopian forces killed seven people.,"Somalia, Mogadishu"
127,The violence erupted Wednesday after insurgents attacked Ethiopian tanks rolling through an insurgent stronghold near the headquarters of the former Defense Ministry in southern Mogadishu.,"Defense Ministry, Mogadishu"
129,Ethiopia deployed soldiers to Somalia last December to help the interim government push an Islamist movement from power.,Somalia
130,Somalia's internationally-recognized government has since been struggling to contain regular outbursts of violence by fighters loyal to the fallen Islamist movement.,Islamist
131,The African Union has deployed troops to Somalia to replace the Ethiopian forces which Addis Ababa plans to withdraw.,"African Union, Somalia"
132,Top Palestinian negotiator Ahmed Qureia says Israeli and Palestinian mediators have agreed to prepare a document outlining their progress toward a peace accord.,Ahmed Qureia
133,In remarks to reporters Qureia said the two sides agreed during recent meetings to begin writing out their positions on all issues discussed during peace negotiations.,Qureia
135,Israeli Prime Minister Ehud Olmert and Palestinian President Mahmoud Abbas resumed U.S.-brokered peace talks last November but progress has been slow.,"Prime Minister Ehud Olmert, President Mahmoud Abbas"
136,The two sides have expressed hope at reaching a peace deal before U.S. President George Bush leaves office early next year.,President George Bush
137,"But Qureia said Wednesday that reaching a peace agreement with Israel before Mr. Bush leaves office will take a"" miracle.""","Qureia, Israel, Mr. Bush"
138,He told reporters in the West Bank that there is still room for progress in Israeli-Palestinian negotiations.,West Bank
139,The Israeli military says Major General Udi Adam - the head of the army's Northern Command - has announced his resignation.,"Major General Udi Adam, Northern Command"
140,"A military statement Wednesday said General Adam has asked to leave his post"" as soon as possible"" and the chief of staff has accepted the request to begin the process of his replacement.",General Adam
141,Adam was widely expected to leave the army after he was pushed aside near the end of the 34-day war against Hezbollah guerrillas in Lebanon.,"Adam, Hezbollah, Lebanon"
142,"He was replaced by another general as"" coordinator of operations in Lebanon.""",Lebanon
143,Israeli media say Adam had several disagreements with the army chief Lieutenant General Dan Halutz over the conduct of the war.,"Adam, Lieutenant General Dan Halutz"
145,The Institute for Science and International Security reports that satellite photos show a possible construction site for a larger nuclear reactor near the small one in the Khushab district of Punjab province.,"Institute for Science and International Security, Khushab, Punjab"
148,Pakistan's Foreign Ministry spokeswoman Tasnim Aslam declined to say whether a new reactor is being constructed but she said the presence of a nuclear weapons program and facilities at Khushab are well known.,"Pakistan, Foreign Ministry, Tasnim Aslam, Khushab"
149,The American Diabetes Association reports the disease is the leading cause of new cases of blindness among adults.,American Diabetes Association
153,VOA's June Soh found camps that provide children with this chronic disease a positive approach to living with diabetes while letting them just be kids.,"VOA, June Soh"
154,Amy Katz Narrates.,Amy Katz
155,Cuba and Panama have said they will restore consular relations months after Havana broke ties with Panama City for pardoning four men convicted in connection with an assassination attempt against Cuban President Fidel Castro.,President Fidel Castro
156,The countries agreed to reopen their consulates following a meeting Friday between Panamanian President Martin Torrijos and Cuban Vice President Carlos Lage.,"President Martin Torrijos, Vice President Carlos Lage"
157,The meeting took place on the sidelines of the Ibero-American Summit in San Jose Costa Rica where heads of state were meeting to discuss a candidate to head the Organization of American States and other regional issues.,"San Jose, Costa Rica, Organization of American States"
158,Cuba severed ties with Panama in August hours after Panamanian President Mireya Moscoso in her final days in office pardoned the men preventing their extradition to Cuba.,"President Mireya Moscoso, Cuba"
159,They were convicted of plotting to kill Mr. Castro during the 2000 Ibero-American summit in Panama City.,"Mr. Castro, Panama City"
160,The Israeli army has killed a Palestinian youth in the northern Gaza Strip and wounded at least three other people.,Gaza Strip
161,The army says it targeted a man who was collecting a rocket launcher from an area used to fire rockets at Israel recently.,Israel
163,The Israeli military began an offensive in Gaza after militants kidnapped an Israeli soldier in June.,Gaza
165,On Sunday Palestinian Prime Minister Ismail Haniyeh said his Hamas-led government will not recognize Israel.,Prime Minister Ismail Haniyeh
167,He spoke after a week of deadly political infighting between Hamas and the rival Fatah party of President Mahmoud Abbas.,"Hamas, Fatah, President Mahmoud Abbas"
168,U.S. automaker Chrysler has opened a $570 million engine plant in northern Mexico.,"U.S., Chrysler, Mexico"
169,During the ceremonial startup of the Saltillo plant Friday Mexican President Felipe Calderon said Chrysler's sixth plant in Mexico will create 700 jobs.,"President Felipe Calderon, Chrysler, Mexico"
170,Mr. Calderon said Mexico has become a worldwide leader in the auto industry.,Mr. Calderon
171,Chrysler plans to build its new fuel-efficient Pentastar V-6 engine for Chrysler Dodge Jeep and Ram vehicles.,Chrysler
173,A U.S. jury has found that drug maker Merck is not liable for the heart attack suffered by a man taking its painkiller Vioxx.,"U.S., Merck"
174,The New Jersey jurists agreed with Merck that job stress and health risks caused the 60-year old postal worker to have a heart attack four years ago.,"New Jersey, Merck"
175,The plaintiff argued Vioxx was responsible.,Vioxx
176,The jury also rejected the man's claim that Merck failed to properly warn users about the drug's risks.,Merck
177,Merck withdrew the popular drug last year after a study showed it doubled the risk of heart problems in long-term users.,Merck
178,Merck is facing thousands of other lawsuits over Vioxx.,Merck
180,In the first Merck was ordered to pay millions of dollars to the widow of a Vioxx user.,Merck
181,Merck is appealing that decision.,Merck
182,The rumors are TRUE: Nicole Ritchie is pregnant.,Nicole Ritchie
183,Speaking to ABC News interviewer Dianne Sawyer the 25-year-old co-star of TV's The Simple Life said she is almost four months along in her pregnancy.,"ABC News, Dianne Sawyer"
184,She said the father is her boyfriend Joel Madden of the rock band Good Charlotte.,"Joel Madden, Good Charlotte"
185,Ritchie also spoke about her guilty plea last week to driving under the influence and the resulting four-day jail sentence.,Ritchie
189,U.S. Senator John Warner of the southeastern state of Virginia a prominent Republican figure in the debate over the war in Iraq says he will retire after finishing his term in 2009.,"Senator John Warner, Virginia, Iraq"
190,Warner told supporters outside of the University of Virginia Friday that he will not seek a sixth term in the 2008 elections.,"Warner, University of Virginia"
191,The former chairman of the powerful Senate Armed Services Committee has openly criticized President Bush's handling of the war in Iraq.,"Senate Armed Services Committee, President Bush, Iraq"
192,He called on Mr. Bush earlier this month to begin withdrawing some U.S. troops from Iraq.,"Mr. Bush, Iraq"
193,His retirement will leave open what would have been a relatively safe seat for Republicans in the fight for Senate control in the elections.,Senate
194,Democrats will now have a better chance to protect or expand their one-seat majority in the Senate.,Senate
195,When he leaves office the 80-year-old former Navy secretary will have served 30 years as a U.S. senator.,Navy
196,The United Nations says December's Indian Ocean tsunami caused around $520 million in damage to fishing industries in seven of the worst hit countries.,"United Nations, Indian Ocean"
197,"The U.N.'s Food and Agricultural Organization (FAO) said the tsunami destroyed or damaged more than 1,11,000 fishing vessels in the region.","U.N., Food and Agricultural Organization, FAO"
199,The FAO's estimate includes damage to fishing industries in Indonesia Maldives Somalia Sri Lanka and Thailand.,"FAO, Indonesia, Maldives, Somalia, Sri Lanka, Thailand"
201,Officials in Indonesia say another person has died from bird flu bringing the country's death toll from the disease to 96 since the outbreak started in 2003.,Indonesia
202,The latest victim was a 16-year-old girl from the town of Bekasi on the eastern outskirts of Jakarta.,"Bekasi, Jakarta"
204,Monday officials reported that a 32-year-old woman from an area just west of Jakarta died of bird flu last week at her home in the city of Tangerang.,"Jakarta, Tangerang"
208,Thailand says it has photo evidence to prove its claim that Islamic militants responsible for violence in Thailand's Muslim-majority south are training in neighboring Malaysia.,"Islamic, Thailand, Malaysia"
209,Thai Deputy Interior Minister Sutham Saengprathum says the photos show the militants training in Malaysia's northern Kelantan state which borders southern Thailand.,"Deputy Interior Minister Sutham Saengprathum, Malaysia, Kelantan, Thailand"
211,Thai Prime Minister Thaksin Shinawatra has said he believes some of the insurgents have been trained in Malaysia Indonesia and southern Thailand.,"Prime Minister Thaksin Shinawatra, Malaysia, Indonesia, Thailand"
213,More than 500 people have been killed this year in an insurgency that some say is supported by extremist Muslims in Indonesia and Malaysia.,"Muslims, Indonesia, Malaysia"
214,Anti-Japanese protests in the western Chinese city of Shanghai turned violent Saturday with protesters pelting the Japanese consulate with rocks bottles and eggs.,Shanghai
215,Several thousand people took to the streets of Shanghai as part of a new wave of anti-Japanese protests over Japan's bid for a permanent seat on the U.N. Security Council and Tokyo's alleged downplaying of war atrocities.,"Shanghai, U.N. Security Council"
216,In Beijing police are out in force waiting for protests to begin in the capital.,Beijing
217,State Councilor Tang Jiaxuan told the official Xinhua news agency that China's government is urging people to protest in a calm and orderly manner.,"State Councilor Tang Jiaxuan, Xinhua"
218,Japan's Foreign Minister Nobutaka Machimura arrives Sunday in Beijing for talks with his Chinese counterpart Li Zhaoxing to discuss relations between the two countries.,"Japan, Foreign Minister, Nobutaka Machimura, Beijing, Li Zhaoxing"
219,"Organizers of the 2012 Summer Olympics in London have promised the"" greenest games"" in history and sought to soothe concerns about the rising cost of the event.",London
221,The Olympic Delivery Authority has promised to cut emissions 50 percent by generating energy on site and using renewable energy.,Olympic Delivery Authority
222,Prime Minister Tony Blair said London is farther ahead in preparations at this stage than any other previous Olympic host city.,Prime Minister Tony Blair
225,China's giant pandas have been on endangered species lists for nearly 30 years.,China
226,"There are only about 1,600 pandas still living in the wild in China.",China
229,Sam Beattie reports from Jing Jing's home in Sichuan province.,"Sam Beattie, Sichuan"
230,British defense officials say 14 British military personnel have been killed in a crash of a NATO aircraft in southern Afghanistan.,"NATO, Afghanistan"
231,A NATO spokesman says the aircraft went off the radar and crashed in an open area near Kandahar Saturday.,"NATO, Kandahar"
232,Officials say the aircraft was supporting a NATO mission in the country's south but there is no indication of enemy action causing the crash.,NATO
233,The crash comes as NATO forces launched an offensive to drive Taleban remnants out of Kandahar.,"NATO, Taleban, Kandahar"
234,"Officials say"" Operation Medusa"" is aimed at removing the Taleban threat so that stability reconstruction and development can be achieved in the area.",Taleban
235,Sri Lankan authorities say a prominent Tamil journalist was found shot dead Friday in Colombo hours after he was abducted by several attackers as he left a restaurant.,"Sri, Tamil, Colombo"
236,Dharmeratnam Sivaram was a board member of the pro-rebel TamilNet Web site and a columnist for Sri Lanka's english newspaper the Daily Mirror.,"Dharmeratnam Sivaram, TamilNet"
237,Mr. Sivaram's Web site became popular for ongoing reports on the Sri Lankan civil war and was a prominent supporter of the Tamil Tiger rebel movement.,"Mr. Sivaram, Sri, Lankan, Tamil Tiger"
238,Mr. Sivaram who was also brutally attacked in 2001 was found near a lake gagged with gunshot wounds to the head.,Mr. Sivaram
241,Japanese media reported Monday that the two countries hope to arrange to hold the talks in Beijing in early November.,Beijing
245,A human rights group has accused coalition forces in Iraq of failing to secure evidence considered vital to the upcoming war crimes trial of former Iraqi leader Saddam Hussein.,"Iraq, Saddam Hussein"
246,Human Rights Watch in a report released Thursday said coalition forces failed to stop people from stealing thousands of Iraqi government documents in the months after the 2003 invasion of Iraq.,"Human Rights Watch, Iraq"
248,The Associated Press quotes a U.S. Defense Department spokeswoman as saying it has not reviewed the report.,"Associated Press, Defense Department"
249,Saddam Hussein was arraigned in July at a U.S. military base on the outskirts of Baghdad.,"Saddam Hussein, Baghdad"
251,Egypt's government and the World Health Organization say three Egyptian children have been hospitalized with the deadly form of avian flu.,World Health Organization
253,WHO says they are receiving treatment and are in stable condition.,WHO
257,Egypt has had the largest number of human bird flu cases outside of Asia.,"Egypt, Asia"
258,The head of the U.N. investigation into the Iraq oil-for-food program says Saddam Hussein illegally obtained more money from oil smuggling than from corruption in the U.N. program.,"U.N., Saddam Hussein, U.N."
259,Former U.S. Federal Reserve Chairman Paul Volcker says the smuggling began before the start of the oil-for-food program and was known to the United Nations Security Council.,"Federal Reserve, Chairman Paul Volcker, United Nations Security Council"
260,In an interview with the U.S. government-funded alHurra television station Mr. Volcker said there is a lot of confusion about how much money Saddam obtained from the oil-for-food program itself.,"government-funded, Mr. Volcker, Saddam"
262,The United Nations created the oil-for-food program after the first Gulf War to allow Iraq to sell oil and use the profits for the Iraqi people's humanitarian needs.,United Nations
263,Kyrgyzstan's Justice Ministry says four people including parliament member Tynychbek Akmatbayev have been killed at a prison near Bishkek after inmates took them hostage.,"Justice Ministry, Tynychbek Akmatbayev, Bishkek"
264,Interior Minister Murat Sutalinov is at the prison to head negotiations with the inmates.,Interior Minister Murat Sutalinov
267,Mr. Akmatbayev was involved in negotiations on Wednesday at another Kyrgyz prison where a riot over poor living conditions forced the staff to evacuate earlier this week.,Mr. Akmatbayev
268,That prison also near Bishkek remained surrounded by security forces on Thursday.,Bishkek
269,A commercial airplane taking off from Western Europe has landed in Iraq for the first time in nearly 20 years.,"Western Europe, Iraq"
270,The plane operated by France's Aigle Azur airline took off from Charles De Gaulle airport in Paris late Saturday and touched down at Baghdad International Airport early Sunday.,"Aigle Azur, Paris"
272,One of the passengers French Foreign Trade Minister Anne-Marie Idrac called it a historic day for cooperation between France and Iraq.,Foreign Trade Minister Anne-Marie Idrac
273,Regular service between Paris and Baghdad is not expected to start for at least several weeks.,"Paris, Baghdad"
274,Aigle Azur is just one of a number of airlines to start flying to Baghdad.,"Aigle Azur, Baghdad"
275,Etihad and Emirates airlines both operating out of the United Arab Emirates started flying to Baghdad earlier this year.,"Etihad, Emirates airlines, United Arab Emirates, Baghdad"
277,The Labor Department Friday issued a report that also showed the U.S. unemployment rate increased for the first time in three months - to 4.6 percent.,Labor Department
279,Analysts say the Department of Labor report will help ease worries that a tight labor market will significantly inflate wages and costs.,Department of Labor
281,Venezuelan President Hugo Chavez has denounced Colombia's defense minister as an obstacle to peace and a pawn of the United States.,President Hugo Chavez
282,Mr. Chavez reacted sharply Sunday to the defense minister's remarks about a meeting between Mr. Chavez and Colombian President Alvaro Uribe.,"Mr. Chavez, Mr. Chavez, President Alvaro Uribe"
284,After the meeting Colombian Defense Minister Juan Manuel Santos said he hoped Venezuela would follow through with promises made during the meeting.,Defense Minister Juan Manuel Santos
285,During a televised speech Sunday Mr. Chavez called on President Uribe to put his defense minister in his place.,"Mr. Chavez, President Uribe"
286,Tensions between the two countries rose in March when Colombia attacked a rebel camp in Ecuador.,Ecuador
289,In its annual report issued Wednesday the U.S. Commission on International Religious Freedom said China continues to be responsible for pervasive and severe violations of religious freedom regularly imprisoning and harassing religious leaders and practitioners.,U.S. Commission on International Religious Freedom
290,In a statement Saturday Chinese Foreign Ministry spokesman Liu Jianchao accused the U.S. body of attempting to interfere with Chinese internal affairs under the guise of religious freedom.,"Foreign Ministry, Liu Jianchao"
292,Liu said China protects the religious freedom of Chinese citizens according to law and that citizens enjoy full freedom of religion.,Liu
295,President Bush has issued 14 pardons to convicted criminals and has commuted the prison sentences of two others.,President Bush
298,Including Monday's actions Mr. Bush has granted 171 pardons and commuted eight sentences while U.S. president.,Mr. Bush
300,White House officials say he made the pardon decisions on a case-by-case basis and will continue to review clemency requests.,White House
301,Uganda's government and rebels of the Lord's Resistance Army are nearing a peace deal to end more than 20 years of conflict.,Lord 's Resistance Army
302,Officials close to the negotiations say an accord signed Friday provides for the disarmament and demobilization of the LRA.,LRA
303,The two sides signed a permanent cease-fire agreement last Saturday during peace talks in Sudan.,Sudan
304,However there is still uncertainty the rebels will sign the final peace deal until rebel leader Joseph Kony is granted immunity from international prosecution.,Joseph Kony
305,Kony is one of five LRA officials sought by the International Criminal Court for alleged war crimes.,"Kony, LRA, International Criminal Court"
306,LRA fighters are accused of murdering thousands of civilians and raping and mutilating others during the long insurgency in northern Uganda.,"LRA, Uganda"
307,World number one men's tennis player Roger Federer has been nearly unbeatable in the past year.,Roger Federer
309,The Swiss star was upset Wednesday by German Tommy Haas in the opening match of the Kooyong Classic in Melbourne.,"Tommy Haas, Melbourne"
311,The 41st ranked Haas fended off three break points while serving for the match and closed a 03-Jun 06-Apr 06-Apr win with an ace.,Haas
312,Federer said he is completely healthy and has no concerns that the ankle problem that curtailed his last season would flare up before the Australian Open which starts Monday.,Federer
313,The European Space Agency says it has received the first images and scientific readings from the surface of Saturn's moon Titan.,"European Space Agency, Saturn, Titan"
314,Officials at agency headquarters in Germany Friday say information taken from the Huygens space probe show what looks like drainage channels on the moon.,Germany
316,The space probe began transmitting data to the Cassini spacecraft while landing on Saturn's largest moon earlier Friday.,Saturn
317,Scientists say the information from Huygens - operated jointly by the American European and Italian space agencies - may provide clues about how primitive Earth evolved into a life-bearing planet.,"European, Earth"
318,Ugandan opposition leader Kizza Besigye has been released on bail after a judge ruled his detention by the military was illegal.,Kizza Besigye
319,Police fired tear gas to disperse hundreds of Dr. Besigye's supporters who took to the streets in Kampala after his release Monday.,"Dr. Besigye, Kampala"
